id,depth,cited_opinion_id,citing_opinion_id
312648941,1,11080860,11297098
312648942,2,2005220,11297098
312648943,2,8436218,11297098
312648944,2,4220056,11297098
312648945,1,2718239,11297098
312648946,2,4180339,11297098
312648947,2,2150598,11297098
312648948,1,3148935,11297098
312648949,5,6118692,11297098
312648950,1,11166846,11297098
312648951,1,11206810,11297098
312648952,1,6332024,11297098
312648953,1,2737372,11297098
312649322,1,7328923,11297147
312649323,1,7328837,11297147
312649324,1,7328665,11297147
312649325,1,9798878,11297147
312649326,1,4021817,11297147
312649327,1,1472072,11297147
312649328,1,9630560,11297147
312649329,1,2766193,11297147
312649330,1,2644672,11297147
312649331,2,2107152,11297147
312649332,1,1940150,11297147
312649333,1,7328566,11297147
312649334,1,2559133,11297147
312649335,1,2320331,11297147
312649479,1,9770797,11297157
312649395,1,1909095,11297150
312649396,1,7320181,11297150
312649397,7,7325889,11297150
312649398,1,3176687,11297150
312649399,2,2381317,11297150
312649400,1,4027437,11297150
312649401,1,7323880,11297150
312649402,1,1436553,11297150
312649403,1,2293048,11297150
312649404,1,6357544,11297150
312649405,1,8229453,11297150
312649406,1,2095052,11297150
312649407,1,9752045,11297150
312649408,1,2969186,11297150
312649409,1,2400841,11297150
312649410,1,7328245,11297150
312649411,3,1970347,11297150
312649412,1,2400713,11297150
312649413,2,2285409,11297150
312649414,1,4192279,11297150
312649415,1,2656167,11297150
312649416,1,1525596,11297150
312649417,1,9710239,11297150
312649418,1,1888330,11297150
312649419,1,7323476,11297150
312649420,1,1886664,11297150
312649421,1,1561640,11297150
312649422,1,2675202,11297150
312649423,1,1940464,11297150
312649424,1,2355827,11297150
312649425,1,1890312,11297150
312649426,1,7286542,11297150
312649427,1,3559048,11297150
312649428,1,7323686,11297150
312649429,2,2084478,11297150
312649430,1,1970127,11297150
312649431,1,2345691,11297150
312649432,2,1962962,11297150
312649433,1,9698552,11297150
312649434,1,7323556,11297150
312649435,1,2095631,11297150
312649436,1,1508909,11297150
312649437,1,9648446,11297150
312649438,1,2338037,11297150
312649439,1,2315288,11297150
312649440,1,9456446,11297150
312649441,1,1889395,11297150
312649442,2,1898305,11297150
312649443,2,1959626,11297150
312649444,1,1987805,11297150
312649500,3,4652433,11297160
312649501,2,2119192,11297160
312649502,2,9434566,11297160
312649503,1,10145961,11297160
312649504,5,9429592,11297160
312649505,5,4538476,11297160
312649546,3,2218078,11297170
312649547,2,9574183,11297170
312649548,3,1877815,11297170
312649549,4,9800565,11297170
312649451,1,9824410,11297153
312649452,1,895053,11297153
312649453,2,9512876,11297153
312650109,1,8122672,11297233
312650110,1,805037,11297233
312650111,1,204553,11297233
312650394,3,9837035,11297240
312650395,4,7271031,11297240
312650396,2,595229,11297240
312650397,1,9500439,11297240
312650398,1,7270515,11297240
312650399,2,2790153,11297240
312650400,1,9506043,11297240
312649473,1,3090118,11297152
312649474,1,9758950,11297152
312649475,1,2124977,11297152
312649476,1,2277281,11297152
312649477,1,9654888,11297152
312649483,1,9730203,11297158
312649484,1,9690586,11297158
312649485,1,9812405,11297158
312649486,1,1766605,11297158
312649487,1,2947176,11297158
312649488,3,9605117,11297158
312649489,1,4383726,11297158
312649490,1,9812366,11297158
312649491,1,9772716,11297158
312649492,1,6108405,11297158
312649493,1,6111186,11297158
312649494,1,1989956,11297158
312649495,2,6110079,11297158
312649496,1,3168101,11297158
312649497,1,2272122,11297158
312649498,1,9621185,11297158
312649499,1,1638168,11297158
312650392,1,8644181,11297243
312650393,1,8647707,11297243
312649516,3,10576515,11297161
312649520,2,9423233,11297166
312649521,3,8203978,11297166
312649938,1,3062323,11297190
312649939,1,1861399,11297190
312649940,1,1724165,11297190
312649941,1,1697784,11297190
312649942,1,4196217,11297190
312649943,1,1708764,11297190
312649944,1,2748183,11297190
312649540,6,1639266,11297159
312649541,2,1613931,11297159
312649542,3,1762566,11297159
312649543,2,8195685,11297159
312649544,2,1624369,11297159
312649545,2,2178357,11297159
312649550,3,8203633,11297170
312649551,1,475786,11297170
312649552,2,1835056,11297170
312649553,3,2029896,11297170
312649554,3,6344123,11297163
312649555,3,1867276,11297163
312649556,3,8203633,11297163
312649557,2,1937564,11297163
312649558,3,9886581,11297163
312649559,3,9884036,11297163
312649560,2,9740296,11297163
312649561,2,2209694,11297163
312649562,4,1930857,11297163
312649563,3,9809031,11297163
312649564,3,2109837,11297163
312649565,3,8203915,11297163
312649587,2,2109837,11297167
312649588,2,1250971,11297167
312649589,3,9690426,11297167
312649590,3,9852833,11297167
312649798,3,9494882,11297184
312649799,15,781828,11297184
312649800,1,787580,11297184
312649801,4,109067,11297184
312649802,2,2674028,11297184
312649803,4,4528128,11297184
312649804,2,9434893,11297184
312649805,2,9432491,11297184
312649806,2,9441719,11297184
312649807,1,94599,11297184
312649808,1,9426321,11297184
312649809,1,102537,11297184
312649810,1,9422181,11297184
312649811,8,9431251,11297184
312649812,1,10757634,11297184
312649813,2,814956,11297184
312649814,5,9425622,11297184
312649566,10,1867276,11297169
312649567,3,9675735,11297169
312649568,3,2058781,11297169
312649569,10,9429592,11297169
312649570,3,9700110,11297169
312649571,2,8201908,11297169
312649572,3,9823588,11297169
312649573,3,1250971,11297169
312649655,1,10575598,11297172
312649656,3,10576932,11297172
312649657,1,1871224,11297172
312649658,3,8203335,11297172
312649659,10,1845401,11297172
312649660,3,9531801,11297172
312649574,6,9669017,11297168
312649575,8,1867276,11297168
312649576,4,6344123,11297168
312649577,2,1950748,11297168
312649578,2,2112509,11297168
312649579,7,8203633,11297168
312649580,6,9429592,11297168
312649581,3,9740908,11297168
312649582,3,1985473,11297168
312649583,3,8204155,11297168
312649584,4,1930857,11297168
312649585,3,9809031,11297168
312649586,2,1250971,11297168
312650112,1,4405450,11297231
312650113,6,9429592,11297231
312650114,1,8407897,11297231
312650115,2,10481895,11297231
312650116,1,2520764,11297231
312650117,1,8480565,11297231
312650118,1,2681534,11297231
312650119,1,7012122,11297231
312649592,3,8203489,11297164
312649593,2,6344123,11297164
312649594,3,9429592,11297164
312649595,4,9655955,11297164
312649596,3,1850349,11297164
312649662,1,9432890,11297174
312649663,6,9871078,11297174
312649664,7,8204311,11297174
312649665,4,1961147,11297174
312649666,1,9433765,11297174
312649667,1,9433549,11297174
